Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
40,1,FTF + FTT,5091,5091,Marketing,Admin & Support & Waste Mgmt & Remediation,45,"$47,674","$51,474",6,"$77,178","$70,686"
40,1,FTF + FTT,5091,5091,Marketing,Educational Services,13,"$51,362","$44,444",4,,
40,1,FTF + FTT,5091,5091,Marketing,Health Care & Social Assistance,25,"$49,162","$53,484",3,,
40,1,FTF + FTT,5091,5091,Marketing,"Arts, Entertainment, & Recreation",22,"$50,701","$44,257",3,,
40,1,FTF + FTT,5091,5091,Marketing,Accommodation & Food Services,52,"$38,695","$39,952",6,"$37,667","$45,752"
40,1,FTF + FTT,5091,5091,Marketing,Other Services,15,"$34,827","$37,178",1,,
40,1,FTF + FTT,5091,5091,Marketing,Government,14,"$52,926","$66,261",1,,
40,1,FTF + FTT,5091,5091,Marketing,Wages - No NAICS Code,4,,,,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Utilities,1,,,,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Construction,4,,,1,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Manufacturing,15,"$69,081","$76,674",4,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Wholesale Trade,7,"$56,324","$51,031",3,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Retail Trade,17,"$67,325","$68,178",,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Transportation & Warehousing,4,,,2,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Information,6,"$72,192","$79,097",1,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Finance & Insurance,14,"$54,166","$49,861",,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Real Estate & Rental & Leasing,3,,,1,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,"Professional, Scientific, & Technical Skills",19,"$61,888","$65,764",2,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Management of Companies & Enterprises,2,,,,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Admin & Support & Waste Mgmt & Remediation,19,"$47,776","$50,626",2,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Educational Services,8,"$52,735","$54,067",,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Health Care & Social Assistance,13,"$59,589","$53,351",4,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,"Arts, Entertainment, & Recreation",3,,,,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Accommodation & Food Services,8,"$47,646","$53,474",,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Other Services,3,,,,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Government,7,"$56,153","$53,130",3,,
40,1,FTF + FTT,5151,5151,Human Resources/Personnel Management,Wages - No NAICS Code,2,,,2,,
40,1,FTF + FTT,5171,5171,Business Economics,"Agriculture, Forestry, Fishing, & Hunting",,,,1,,
40,1,FTF + FTT,5171,5171,Business Economics,Utilities,1,,,,,
40,1,FTF + FTT,5171,5171,Business Economics,Construction,2,,,1,,
40,1,FTF + FTT,5171,5171,Business Economics,Manufacturing,13,"$71,487","$60,916",3,,
40,1,FTF + FTT,5171,5171,Business Economics,Wholesale Trade,12,"$65,219","$69,227",,,
40,1,FTF + FTT,5171,5171,Business Economics,Retail Trade,12,"$46,501","$47,578",4,,
