Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Educational Services,11,"$61,698","$57,290",4,,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Government,3,,,2,,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Wages - No NAICS Code,4,,,2,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Wholesale Trade,,,,1,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Retail Trade,3,,,,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Finance & Insurance,2,,,,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Real Estate & Rental & Leasing,1,,,,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Admin & Support & Waste Mgmt & Remediation,1,,,,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Educational Services,19,"$28,680","$31,030",2,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Health Care & Social Assistance,20,"$33,030","$30,357",1,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Accommodation & Food Services,1,,,,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Other Services,2,,,,,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,Government,2,,,,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Construction,2,,,,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Manufacturing,5,"$32,371","$37,722",1,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Retail Trade,3,,,1,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Information,4,,,1,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Real Estate & Rental & Leasing,1,,,,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,"Professional, Scientific, & Technical Skills",2,,,1,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Admin & Support & Waste Mgmt & Remediation,3,,,1,,
