Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Real Estate & Rental & Leasing,10,"$57,042.00","$88,847.00",5,"$45,300.00","$91,259.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,"Professional, Scientific, & Technical Skills",88,"$66,259.00","$65,335.00",35,"$88,677.00","$81,826.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Management of Companies & Enterprises,1,,,,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Admin & Support & Waste Mgmt & Remediation,17,"$45,490.00","$44,706.00",11,"$34,049.00","$45,608.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Educational Services,9,"$50,697.00","$45,322.00",5,"$34,548.00","$47,158.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Health Care & Social Assistance,6,"$43,653.00","$41,311.00",4,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,"Arts, Entertainment, & Recreation",1,,,,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Accommodation & Food Services,7,"$33,065.00","$37,118.00",9,"$31,737.00","$39,153.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Other Services,5,"$35,927.00","$51,354.00",2,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Non-Classified,,,,1,,
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Government,140,"$77,151.00","$78,049.00",90,"$94,120.00","$92,366.00"
10,Pomona ,1,FTF + FTT,2061,2061,City and Regional Planning,Wages - No NAICS Code,10,"$97,782.00","$86,998.00",8,"$116,857.00","$111,623.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,"Agriculture, Forestry, Fishing, & Hunting",2,,,,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Utilities,9,"$76,494.00","$82,188.00",9,"$96,062.00","$91,800.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Construction,9,"$16,099.00","$21,879.00",,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Manufacturing,91,"$62,038.00","$66,861.00",52,"$79,681.00","$83,085.00"
